,owner,explore_level,exist,DFA,RR,inital_state,resource
1 83,0.0,8249.0,1.0,0.0,1.0,0.0,-4069792057.9981275
1 84,0.0,8249.0,1.0,0.0,1.0,1.0,-4069792079.749822
1 85,0.0,8249.0,1.0,0.0,1.0,1.0,-4069792309.6897087
1 86,0.0,8249.0,1.0,0.0,1.0,1.0,-4069792309.6897087
1 87,0.0,8249.0,1.0,0.0,1.0,0.0,-4069792303.726004
1 88,0.0,8249.0,1.0,0.0,1.0,0.0,-4069792258.745871
1 89,0.0,8249.0,1.0,0.0,1.0,0.0,-4069792258.745871
1 90,0.0,8249.0,1.0,0.0,1.0,1.0,-4069483135.820252
1 91,538,2110,1,0,0,0,6924346.359058436
1 92,538,2110,1,0,0,2,6759250.589427276
1 93,538,2110,1,0,0,3,6923878.799823742
1 94,538,2110,1,0,0,1,6598642.097647634
1 95,538,2110,1,0,0,1,6616916.309597055
1 96,538,2110,1,0,0,3,6593362.177693933
1 97,538,2110,1,0,0,0,6588634.8608971825
1 98,538,2110,1,0,0,1,6588577.702202113
1 99,538,2110,1,0,0,1,6588574.548058953
2 0,0.0,6020.0,1.0,0.0,1.0,0.0,-22121357.891064256
2 1,0.0,6020.0,1.0,0.0,1.0,1.0,-22121383.94664347
2 2,0.0,6020.0,1.0,0.0,1.0,0.0,-22121384.817379236
2 3,0.0,6020.0,1.0,0.0,1.0,0.0,-22121382.151142687
2 4,0.0,6020.0,1.0,0.0,1.0,1.0,-21807980.72922112
2 5,0,0,1,0,0,0,0
2 6,0.0,6020.0,1.0,0.0,1.0,1.0,-16674843.363164313
2 7,0,0,1,0,0,1,1
2 8,0,0,1,0,0,0,0
2 9,0,0,1,0,0,1,1
2 10,0,0,1,0,0,0,0
2 11,0,0,1,0,0,1,1
2 12,0.0,1407.0,1.0,0.0,1.0,0.0,-4354185.014088387
2 13,0.0,1407.0,1.0,0.0,1.0,0.0,-4397609.284569967
2 14,0.0,1407.0,1.0,0.0,1.0,0.0,-4389989.162545776
2 15,0.0,1407.0,1.0,0.0,1.0,3.0,-4399338.002467074
2 16,0.0,1407.0,1.0,0.0,1.0,1.0,-4397608.284569967
2 17,0.0,1407.0,1.0,0.0,1.0,0.0,-3724242.7894714116
2 18,0.0,22241.0,1.0,0.0,1.0,0.0,-1463128579.5323892
2 19,0.0,22241.0,1.0,0.0,1.0,0.0,-1463584700.5548358
2 20,0.0,22241.0,1.0,0.0,1.0,1.0,-1463584699.5548358
2 21,0.0,22241.0,1.0,0.0,1.0,2.0,-1463585459.0292072
2 22,0.0,22241.0,1.0,0.0,1.0,1.0,-1463506267.4324164
2 23,0.0,22241.0,1.0,0.0,1.0,1.0,-1464160781.7791505
2 24,0.0,8541.0,1.0,0.0,1.0,1.0,-2271790594.176226
2 25,0.0,17326.0,0.0,1.0,1.0,0.0,-3515794649.37278
2 26,0.0,17326.0,0.0,1.0,1.0,0.0,-3518016814.7926583
2 27,78,56,0,1,0,0,5693.760007239706
2 28,0.0,17326.0,1.0,0.0,1.0,0.0,-3517842136.157485
2 29,0.0,17326.0,1.0,0.0,1.0,0.0,-3470607661.221043
2 30,0.0,17326.0,0.0,1.0,1.0,0.0,-3518027906.7657704
2 31,0.0,17326.0,0.0,1.0,1.0,0.0,-3518027869.6995554
2 32,0.0,17326.0,1.0,0.0,1.0,2.0,-3518027694.5887427
2 33,0.0,17326.0,0.0,1.0,1.0,3.0,-3518027301.8031855
2 34,0.0,30186.0,0.0,1.0,1.0,1.0,-61509210195.28854
2 35,0.0,30186.0,1.0,0.0,1.0,0.0,-61509214384.33347
2 36,0.0,30186.0,1.0,0.0,1.0,1.0,-61509214673.1378
2 37,0.0,30186.0,1.0,0.0,1.0,0.0,-61509214676.47359
2 38,0.0,30186.0,1.0,0.0,1.0,0.0,-61509214683.04913
2 39,0.0,30186.0,1.0,0.0,1.0,2.0,-61509214674.47359
2 40,0.0,30186.0,1.0,0.0,1.0,1.0,-61509214699.37913
2 41,0.0,1.0,1.0,0.0,1.0,2.0,-61509214698.37924
2 42,0.0,30186.0,1.0,0.0,1.0,0.0,-61509214700.37913
2 43,0.0,30186.0,1.0,0.0,1.0,1.0,-61509214752.66196
2 44,0.0,30186.0,1.0,0.0,1.0,1.0,-61509214675.47359
2 45,0.0,30186.0,1.0,0.0,1.0,1.0,-61509214659.36241
2 46,0.0,30186.0,0.0,1.0,1.0,1.0,-61509214666.87186
2 47,0.0,30186.0,0.0,1.0,1.0,0.0,-61509213231.01888
2 48,0.0,30186.0,0.0,1.0,1.0,0.0,-61509206848.37303
2 49,0.0,17758.0,1.0,0.0,1.0,1.0,-1132973066.9493742
2 50,0.0,17758.0,1.0,0.0,1.0,0.0,-1132977962.7365553
2 51,0.0,17758.0,1.0,0.0,1.0,3.0,-1132978038.7130733
2 52,0.0,17758.0,1.0,0.0,1.0,4.0,-1132978100.5844333
2 53,0.0,18239.0,0.0,1.0,1.0,1.0,-51379718149.4824
2 54,0.0,18239.0,1.0,0.0,1.0,2.0,-51379718152.81004
2 55,0.0,18239.0,1.0,0.0,1.0,4.0,-51379717842.4955
2 56,0.0,18239.0,1.0,0.0,1.0,0.0,-51379718154.81004
2 57,0.0,18239.0,1.0,0.0,1.0,3.0,-51379716942.9422
2 58,0.0,18239.0,1.0,0.0,1.0,0.0,-51379715603.65453
2 59,0.0,15504.0,1.0,0.0,1.0,0.0,-50918221549.60934
2 60,0.0,35488.0,1.0,0.0,1.0,0.0,-3109612500.3771496
2 61,0.0,1.0,1.0,0.0,1.0,2.0,-3109613125.340964
2 62,0.0,35488.0,1.0,0.0,1.0,0.0,-3109613127.340784
2 63,0.0,35488.0,1.0,0.0,1.0,2.0,-3109612787.4128494
2 64,0.0,35488.0,1.0,0.0,1.0,3.0,-3109612467.0440884
2 65,0.0,35488.0,1.0,0.0,1.0,0.0,-3109609867.0295534
2 66,0.0,19619.0,1.0,0.0,1.0,3.0,-2639122455.681985
2 67,0.0,1.0,1.0,0.0,1.0,2.0,-2643450751.6420903
2 68,429,7555,0,1,0,0,82237378.55076112
2 69,0.0,19619.0,1.0,0.0,1.0,0.0,-2643524668.1211104
2 70,0.0,19619.0,1.0,0.0,1.0,0.0,-2643541691.54819
2 71,0.0,19619.0,1.0,0.0,1.0,0.0,-2643541739.167591
2 72,0.0,19619.0,1.0,0.0,1.0,0.0,-2643541739.2799497
2 73,0.0,19619.0,1.0,0.0,1.0,0.0,-2643541749.5385723
2 74,0.0,19619.0,1.0,0.0,1.0,0.0,-2643541736.004741
2 75,0.0,19619.0,1.0,0.0,1.0,0.0,-2643541749.2344913
2 76,0.0,19619.0,1.0,0.0,1.0,0.0,-2643541743.0927696
2 77,0.0,12.0,0.0,1.0,1.0,1.0,-51883724884.02015
2 78,0.0,18239.0,0.0,1.0,1.0,0.0,-51881476076.38283
2 79,0.0,18239.0,0.0,1.0,1.0,3.0,-51883920304.47626
2 80,0.0,18239.0,0.0,1.0,1.0,1.0,-51878688394.487015
2 81,0.0,19619.0,1.0,0.0,1.0,0.0,-2643501871.0655317
2 82,0.0,8249.0,0.0,1.0,1.0,1.0,-4062305007.984843
2 83,0.0,1.0,1.0,0.0,1.0,2.0,-4069765221.909729
2 84,0.0,8249.0,1.0,0.0,1.0,3.0,-4069792277.22524
2 85,0.0,8249.0,1.0,0.0,1.0,1.0,-4069792302.23627
2 86,0.0,8249.0,1.0,0.0,1.0,1.0,-4069792280.268303
2 87,0.0,8249.0,1.0,0.0,1.0,0.0,-4069792258.745871
2 88,0.0,8249.0,1.0,0.0,1.0,2.0,-4069792320.740254
2 89,0.0,8249.0,1.0,0.0,1.0,1.0,-4069792257.208933
2 90,0.0,8249.0,1.0,0.0,1.0,0.0,-4062927235.866481
2 91,538,2110,1,0,0,1,7061218.227397522
2 92,538,2110,1,0,0,0,6588630.825816971
2 93,538,2110,1,0,0,1,6588824.277514862
2 94,538,2110,1,0,0,0,6588906.255450516
2 95,538,2110,1,0,0,0,6588631.03721154
2 96,538,2110,1,0,0,0,6588619.34829187
2 97,538,2110,1,0,0,1,6588553.265942513
2 98,538,2110,1,0,0,0,6588573.548058953
2 99,538,2110,1,0,0,0,6588573.548058953
3 0,0.0,6020.0,1.0,0.0,1.0,2.0,-22121463.36618287
3 1,0.0,6020.0,1.0,0.0,1.0,1.0,-22121385.08122822
3 2,0.0,6020.0,1.0,0.0,1.0,1.0,-22121385.08122822
3 3,0.0,6020.0,1.0,0.0,1.0,0.0,-22121378.648207456
3 4,0.0,6020.0,1.0,0.0,1.0,0.0,-22120545.239749476
3 5,0.0,6020.0,1.0,0.0,1.0,1.0,-21551076.10047491
3 6,0.0,6020.0,1.0,0.0,1.0,1.0,-21535298.499241903
3 7,0.0,6020.0,1.0,0.0,1.0,1.0,-19399857.97715591
3 8,0.0,1407.0,1.0,0.0,1.0,0.0,-3140782.743261844
3 9,0.0,1407.0,1.0,0.0,1.0,0.0,-3142713.6881155735
3 10,0.0,1407.0,1.0,0.0,1.0,0.0,-3432844.226872448
3 11,0.0,1407.0,1.0,0.0,1.0,1.0,-4399340.002467074
3 12,0.0,1407.0,1.0,0.0,1.0,3.0,-4399397.419282662
3 13,0.0,1407.0,1.0,0.0,1.0,3.0,-4399488.466912037
3 14,0.0,1407.0,1.0,0.0,1.0,2.0,-4399398.419282662
3 15,0.0,1407.0,1.0,0.0,1.0,0.0,-4399400.419282662
3 16,0.0,1407.0,1.0,0.0,1.0,0.0,-4399341.002467074
3 17,0.0,1407.0,1.0,0.0,1.0,1.0,-4388006.742987299
3 18,0.0,1407.0,0.0,1.0,1.0,0.0,-3427030.405015844
3 19,0.0,22241.0,1.0,0.0,1.0,1.0,-1463585207.21599
3 20,0.0,22241.0,1.0,0.0,1.0,0.0,-1463327873.839066
3 21,0.0,22241.0,1.0,0.0,1.0,1.0,-1463626441.3402662
3 22,0.0,22241.0,1.0,0.0,1.0,0.0,-1462604749.779794
3 23,0.0,8541.0,1.0,0.0,1.0,1.0,-2271789845.7924767
3 24,0.0,8541.0,1.0,0.0,1.0,4.0,-2271790592.7218237
3 25,0.0,8541.0,1.0,0.0,1.0,1.0,-2271790810.286276
3 26,0.0,1714.0,1.0,0.0,1.0,1.0,-3515395399.7298703
3 27,0.0,17326.0,1.0,0.0,1.0,0.0,-3518027976.7828717
3 28,0.0,17326.0,1.0,0.0,1.0,0.0,-3518028093.2106886
3 29,0.0,17326.0,1.0,0.0,1.0,0.0,-3518027991.2919054
3 30,0.0,17326.0,1.0,0.0,1.0,0.0,-3518027846.8626184
3 31,0.0,17326.0,1.0,0.0,1.0,2.0,-3518027967.2776833
3 32,0.0,17326.0,1.0,0.0,1.0,0.0,-3518027889.095214
3 33,0.0,17326.0,1.0,0.0,1.0,3.0,-3518027885.8915377
3 34,0.0,30186.0,0.0,1.0,1.0,0.0,-61498725872.576775
3 35,0.0,30186.0,0.0,1.0,1.0,2.0,-61509213085.64
3 36,0.0,30186.0,0.0,1.0,1.0,1.0,-61509214597.69104
3 37,0.0,30186.0,1.0,0.0,1.0,0.0,-61509214164.152435
3 38,0.0,30186.0,1.0,0.0,1.0,4.0,-61509214645.2667
3 39,0.0,30186.0,1.0,0.0,1.0,1.0,-61509214673.1378
3 40,0.0,30186.0,1.0,0.0,1.0,3.0,-61509214677.79967
3 41,0.0,30186.0,1.0,0.0,1.0,0.0,-61509214680.79967
3 42,0.0,30186.0,1.0,0.0,1.0,0.0,-61509214680.02323
3 43,0.0,30186.0,1.0,0.0,1.0,0.0,-61509214683.04913
3 44,0.0,30186.0,1.0,0.0,1.0,1.0,-61509214682.04913
3 45,0.0,30186.0,1.0,0.0,1.0,1.0,-61509214673.1378
3 46,0.0,30186.0,1.0,0.0,1.0,0.0,-61509214649.32955
3 47,0.0,30186.0,1.0,0.0,1.0,0.0,-61509210086.43456
3 48,0.0,30186.0,0.0,1.0,1.0,0.0,-61509115804.895355
3 49,0.0,17758.0,1.0,0.0,1.0,0.0,-1132977967.4873435
3 50,0.0,17758.0,1.0,0.0,1.0,0.0,-1132977967.4873435
3 51,0.0,17758.0,1.0,0.0,1.0,0.0,-1132978051.1808798
3 52,0.0,17758.0,1.0,0.0,1.0,1.0,-1132978050.1808798
3 53,0.0,18239.0,0.0,1.0,1.0,3.0,-51379715516.30634
3 54,0.0,18239.0,1.0,0.0,1.0,1.0,-51379718256.13067
3 55,0.0,18239.0,1.0,0.0,1.0,3.0,-51379718153.12576
3 56,0.0,18239.0,1.0,0.0,1.0,1.0,-51379718155.12576
3 57,0.0,18239.0,1.0,0.0,1.0,1.0,-51379718155.12576
3 58,0.0,18239.0,1.0,0.0,1.0,0.0,-51379715553.869316
3 59,0.0,18239.0,1.0,0.0,1.0,0.0,-51379712307.89158
3 60,0.0,15504.0,1.0,0.0,1.0,0.0,-50870682296.095116
3 61,0.0,35488.0,1.0,0.0,1.0,0.0,-3109613086.8092117
3 62,0.0,35488.0,1.0,0.0,1.0,1.0,-3109613511.2493296
3 63,0.0,18239.0,0.0,1.0,1.0,0.0,-51882395067.494385
3 64,0.0,18239.0,0.0,1.0,1.0,3.0,-51878620925.758354
3 65,0.0,19619.0,1.0,0.0,1.0,0.0,-2583017749.5705843
3 66,0.0,19619.0,1.0,0.0,1.0,1.0,-2640042060.996045
3 67,0.0,19619.0,1.0,0.0,1.0,1.0,-2642944325.6568127
3 68,0.0,19619.0,1.0,0.0,1.0,0.0,-2643450753.6419716
3 69,0.0,19619.0,1.0,0.0,1.0,0.0,-2643523195.0975637
3 70,0.0,19619.0,1.0,0.0,1.0,3.0,-2643541687.892703
3 71,0.0,19619.0,1.0,0.0,1.0,0.0,-2643541691.54819
3 72,0.0,19619.0,1.0,0.0,1.0,4.0,-2643541687.54819
3 73,429,16,0,1,1,0,-51883441977.609634
3 74,0.0,18239.0,0.0,1.0,1.0,1.0,-51883442209.66095
3 75,0.0,11.0,0.0,1.0,1.0,0.0,-51883725206.20457
3 76,0.0,12.0,0.0,1.0,1.0,1.0,-51883723765.83051
3 77,0.0,11.0,0.0,1.0,1.0,0.0,-51883919642.23947
3 78,0.0,18239.0,1.0,0.0,1.0,0.0,-51883725114.630585
3 79,0.0,18239.0,1.0,0.0,1.0,0.0,-51884260925.14713
3 80,0.0,18239.0,0.0,1.0,1.0,0.0,-51884264291.68466
3 81,0.0,18239.0,1.0,0.0,1.0,0.0,-51364045339.30535
